filename,network,station,channel,trace_id,start_time,end_time,duration,sampling_rate,samples
GE.PLAI.SL.gfz2012dcye.mseed,GE,PLAI,SLZ,GE.PLAI..SLZ,2012-02-14T07:05:52.868391,2012-02-14T07:10:53.668391,300.8,100.0,30081
GE.LUWI.BL.gfz2009floe.mseed,GE,LUWI,BLE,GE.LUWI..BLE,2009-03-19T12:31:33.869538,2009-03-19T12:36:34.659538,300.79,100.0,30080
GE.LUWI.BL.gfz2009floe.mseed,GE,LUWI,BLN,GE.LUWI..BLN,2009-03-19T12:31:33.869538,2009-03-19T12:36:34.659538,300.79,100.0,30080
GE.LUWI.BL.gfz2009floe.mseed,GE,LUWI,BLZ,GE.LUWI..BLZ,2009-03-19T12:31:33.869538,2009-03-19T12:36:34.659538,300.79,100.0,30080
GE.BNDI.SH.gfz2013thwx.mseed,GE,BNDI,SHE,GE.BNDI..SHE,2013-10-02T16:42:33.208393,2013-10-02T16:47:34.028393,300.82,100.0,30083
GE.BNDI.SH.gfz2013thwx.mseed,GE,BNDI,SHN,GE.BNDI..SHN,2013-10-02T16:42:33.208393,2013-10-02T16:47:34.028393,300.82,100.0,30083
GE.BNDI.SH.gfz2013thwx.mseed,GE,BNDI,SHZ,GE.BNDI..SHZ,2013-10-02T16:42:33.208393,2013-10-02T16:47:34.028393,300.82,100.0,30083
GE.FAKI.SH.gfz2012amyi.mseed,GE,FAKI,SHE,GE.FAKI..SHE,2012-01-08T01:56:10.788393,2012-01-08T02:01:11.578393,300.79,100.0,30080
GE.FAKI.SH.gfz2012amyi.mseed,GE,FAKI,SHN,GE.FAKI..SHN,2012-01-08T01:56:10.788394,2012-01-08T02:01:11.578394,300.79,100.0,30080
GE.FAKI.SH.gfz2012amyi.mseed,GE,FAKI,SHZ,GE.FAKI..SHZ,2012-01-08T01:56:10.788394,2012-01-08T02:01:11.578394,300.79,100.0,30080
GE.UGM.BH.gfz2009boyf.mseed,GE,UGM,BHE,GE.UGM..BHE,2009-01-23T10:01:47.619538,2009-01-23T10:06:48.419538,300.8,100.0,30081
GE.UGM.BH.gfz2009boyf.mseed,GE,UGM,BHN,GE.UGM..BHN,2009-01-23T10:01:47.619538,2009-01-23T10:06:48.419538,300.8,100.0,30081
